Timestamp;FPS;Nez;Bouche;Œil_Gauche;Œil_Droit;Joue_Gauche;Joue_Droite;Front;Menton
2025-07-09 05:23:34.141219;6.1;22.3;20.96;15.64;21.25;24.27;20.62;20.81;25.24
2025-07-09 05:23:34.333804;6.1;21.8;23.45;17.41;24.73;27.86;17.4;23.89;27.98
2025-07-09 05:23:34.601122;6.1;18.97;20.88;14.77;27.69;23.32;20.72;24.92;23.07
2025-07-09 05:23:34.773879;6.1;15.65;22.8;16.51;30.44;26.1;23.62;22.28;19.5
2025-07-09 05:23:35.008594;6.2;13.16;20.01;17.12;28.73;23.02;21.49;21.38;22.37
2025-07-09 05:23:35.224893;6.1;15.29;16.9;15.58;23.09;23.97;22.71;21.68;21.68
2025-07-09 05:23:35.478244;6.1;13.03;17.63;20.49;24.86;22.09;19.71;24.05;22.68
2025-07-09 05:23:35.712056;6.1;13.24;22.1;24.84;28.1;20.67;16.59;19.96;20.42
2025-07-09 05:23:35.929172;6.1;17.4;25.72;25.26;27.64;22.5;16.31;20.52;20.66
2025-07-09 05:23:36.024353;9.8;16.94;20.15;28.07;27.58;25.23;20.95;21.73;19.33
